Country Code,Short Name,Region,Income_Group
ABW,Aruba,Latin America & Caribbean,High income
AFG,Afghanistan,South Asia,Low income
AGO,Angola,Sub-Saharan Africa,Upper middle income
ALB,Albania,Europe & Central Asia,Upper middle income
AND,Andorra,Europe & Central Asia,High income
ARB,Arab World,,
ARE,United Arab Emirates,Middle East & North Africa,High income
ARG,Argentina,Latin America & Caribbean,Upper middle income
ARM,Armenia,Europe & Central Asia,Lower middle income
ASM,American Samoa,East Asia & Pacific,Upper middle income
ATG,Antigua and Barbuda,Latin America & Caribbean,High income
AUS,Australia,East Asia & Pacific,High income
AUT,Austria,Europe & Central Asia,High income
AZE,Azerbaijan,Europe & Central Asia,Upper middle income
BDI,Burundi,Sub-Saharan Africa,Low income
BEL,Belgium,Europe & Central Asia,High income
BEN,Benin,Sub-Saharan Africa,Low income
BFA,Burkina Faso,Sub-Saharan Africa,Low income
BGD,Bangladesh,South Asia,Low income
BGR,Bulgaria,Europe & Central Asia,Upper middle income
BHR,Bahrain,Middle East & North Africa,High income
BHS,The Bahamas,Latin America & Caribbean,High income
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper middle income
BLR,Belarus,Europe & Central Asia,Upper middle income
BLZ,Belize,Latin America & Caribbean,Upper middle income
BMU,Bermuda,North America,High income
BOL,Bolivia,Latin America & Caribbean,Lower middle income
BRA,Brazil,Latin America & Caribbean,Upper middle income
BRB,Barbados,Latin America & Caribbean,High income
BRN,Brunei,East Asia & Pacific,High income
BTN,Bhutan,South Asia,Lower middle income
BWA,Botswana,Sub-Saharan Africa,Upper middle income
CAF,Central African Republic,Sub-Saharan Africa,Low income
CAN,Canada,North America,High income
CHE,Switzerland,Europe & Central Asia,High income
CHI,Channel Islands,Europe & Central Asia,High income
CHL,Chile,Latin America & Caribbean,High income
CHN,China,East Asia & Pacific,Upper middle income
CIV,Côte d'Ivoire,Sub-Saharan Africa,Lower middle income
CMR,Cameroon,Sub-Saharan Africa,Lower middle income
COD,Dem. Rep. Congo,Sub-Saharan Africa,Low income
COG,Congo,Sub-Saharan Africa,Lower middle income
COL,Colombia,Latin America & Caribbean,Upper middle income
COM,Comoros,Sub-Saharan Africa,Low income
CPV,Cabo Verde,Sub-Saharan Africa,Lower middle income
CRI,Costa Rica,Latin America & Caribbean,Upper middle income
CUB,Cuba,Latin America & Caribbean,Upper middle income
CUW,Curaçao,Latin America & Caribbean,High income
CYM,Cayman Islands,Latin America & Caribbean,High income
CYP,Cyprus,Europe & Central Asia,High income
CZE,Czech Republic,Europe & Central Asia,High income
DEU,Germany,Europe & Central Asia,High income
DJI,Djibouti,Middle East & North Africa,Lower middle income
DMA,Dominica,Latin America & Caribbean,Upper middle income
DNK,Denmark,Europe & Central Asia,High income
DOM,Dominican Republic,Latin America & Caribbean,Upper middle income
DZA,Algeria,Middle East & North Africa,Upper middle income
EAP,East Asia & Pacific (developing only),,
EAS,East Asia & Pacific (all income levels),,
ECA,Europe & Central Asia (developing only),,
ECS,Europe & Central Asia (all income levels),,
ECU,Ecuador,Latin America & Caribbean,Upper middle income
EGY,Egypt,Middle East & North Africa,Lower middle income
EMU,Euro area,,
ERI,Eritrea,Sub-Saharan Africa,Low income
ESP,Spain,Europe & Central Asia,High income
EST,Estonia,Europe & Central Asia,High income
ETH,Ethiopia,Sub-Saharan Africa,Low income
EUU,European Union,,
FIN,Finland,Europe & Central Asia,High income
FJI,Fiji,East Asia & Pacific,Upper middle income
FRA,France,Europe & Central Asia,High income
FRO,Faeroe Islands,Europe & Central Asia,High income
FSM,Micronesia,East Asia & Pacific,Lower middle income
GAB,Gabon,Sub-Saharan Africa,Upper middle income
GBR,United Kingdom,Europe & Central Asia,High income
GEO,Georgia,Europe & Central Asia,Lower middle income
GHA,Ghana,Sub-Saharan Africa,Lower middle income
GIB,Gibraltar,,
GIN,Guinea,Sub-Saharan Africa,Low income
GMB,The Gambia,Sub-Saharan Africa,Low income
GNB,Guinea-Bissau,Sub-Saharan Africa,Low income
GNQ,Equatorial Guinea,Sub-Saharan Africa,High income
GRC,Greece,Europe & Central Asia,High income
GRD,Grenada,Latin America & Caribbean,Upper middle income
GRL,Greenland,Europe & Central Asia,High income
GTM,Guatemala,Latin America & Caribbean,Lower middle income
GUM,Guam,East Asia & Pacific,High income
GUY,Guyana,Latin America & Caribbean,Lower middle income
HIC,High income,,
HKG,"Hong Kong SAR, China",East Asia & Pacific,High income
HND,Honduras,Latin America & Caribbean,Lower middle income
HPC,Heavily indebted poor countries (HIPC),,
HRV,Croatia,Europe & Central Asia,High income
HTI,Haiti,Latin America & Caribbean,Low income
HUN,Hungary,Europe & Central Asia,Upper middle income
IDN,Indonesia,East Asia & Pacific,Lower middle income
IMN,Isle of Man,Europe & Central Asia,High income
IND,India,South Asia,Lower middle income
IRL,Ireland,Europe & Central Asia,High income
IRN,Iran,Middle East & North Africa,Upper middle income
IRQ,Iraq,Middle East & North Africa,Upper middle income
ISL,Iceland,Europe & Central Asia,High income
ISR,Israel,Middle East & North Africa,High income
ITA,Italy,Europe & Central Asia,High income
JAM,Jamaica,Latin America & Caribbean,Upper middle income
JOR,Jordan,Middle East & North Africa,Upper middle income
JPN,Japan,East Asia & Pacific,High income
KAZ,Kazakhstan,Europe & Central Asia,Upper middle income
KEN,Kenya,Sub-Saharan Africa,Low income
KGZ,Kyrgyz Republic,Europe & Central Asia,Lower middle income
KHM,Cambodia,East Asia & Pacific,Low income
KIR,Kiribati,East Asia & Pacific,Lower middle income
KNA,St. Kitts and Nevis,Latin America & Caribbean,High income
KOR,Korea,East Asia & Pacific,High income
KWT,Kuwait,Middle East & North Africa,High income
LAC,Latin America & Caribbean (developing only),,
LAO,Lao PDR,East Asia & Pacific,Lower middle income
LBN,Lebanon,Middle East & North Africa,Upper middle income
LBR,Liberia,Sub-Saharan Africa,Low income
LBY,Libya,Middle East & North Africa,Upper middle income
LCA,St. Lucia,Latin America & Caribbean,Upper middle income
LCN,Latin America & Caribbean (all income levels),,
LDC,Least developed countries: UN classification,,
LIC,Low income,,
LIE,Liechtenstein,Europe & Central Asia,High income
LKA,Sri Lanka,South Asia,Lower middle income
LMC,Lower middle income,,
LMY,Low & middle income,,
LSO,Lesotho,Sub-Saharan Africa,Lower middle income
LTU,Lithuania,Europe & Central Asia,High income
LUX,Luxembourg,Europe & Central Asia,High income
LVA,Latvia,Europe & Central Asia,High income
MAC,"Macao SAR, China",East Asia & Pacific,High income
MAF,St. Martin (French part),Latin America & Caribbean,High income
MAR,Morocco,Middle East & North Africa,Lower middle income
MCO,Monaco,Europe & Central Asia,High income
MDA,Moldova,Europe & Central Asia,Lower middle income
MDG,Madagascar,Sub-Saharan Africa,Low income
MDV,Maldives,South Asia,Upper middle income
MEA,Middle East & North Africa (all income levels),,
MEX,Mexico,Latin America & Caribbean,Upper middle income
MHL,Marshall Islands,East Asia & Pacific,Upper middle income
MIC,Middle income,,
MKD,Macedonia,Europe & Central Asia,Upper middle income
MLI,Mali,Sub-Saharan Africa,Low income
MLT,Malta,Middle East & North Africa,High income
MMR,Myanmar,East Asia & Pacific,Low income
MNA,Middle East & North Africa (developing only),,
MNE,Montenegro,Europe & Central Asia,Upper middle income
MNG,Mongolia,East Asia & Pacific,Lower middle income
MNP,Northern Mariana Islands,East Asia & Pacific,High income
MOZ,Mozambique,Sub-Saharan Africa,Low income
MRT,Mauritania,Sub-Saharan Africa,Lower middle income
MUS,Mauritius,Sub-Saharan Africa,Upper middle income
MWI,Malawi,Sub-Saharan Africa,Low income
MYS,Malaysia,East Asia & Pacific,Upper middle income
NAC,North America,,
NAM,Namibia,Sub-Saharan Africa,Upper middle income
NCL,New Caledonia,East Asia & Pacific,High income
NER,Niger,Sub-Saharan Africa,Low income
NGA,Nigeria,Sub-Saharan Africa,Lower middle income
NIC,Nicaragua,Latin America & Caribbean,Lower middle income
NLD,Netherlands,Europe & Central Asia,High income
NOR,Norway,Europe & Central Asia,High income
NPL,Nepal,South Asia,Low income
NRU,Nauru,,
NZL,New Zealand,East Asia & Pacific,High income
OED,OECD members,,
OMN,Oman,Middle East & North Africa,High income
PAK,Pakistan,South Asia,Lower middle income
PAN,Panama,Latin America & Caribbean,Upper middle income
PER,Peru,Latin America & Caribbean,Upper middle income
PHL,Philippines,East Asia & Pacific,Lower middle income
PLW,Palau,East Asia & Pacific,Upper middle income
PNG,Papua New Guinea,East Asia & Pacific,Lower middle income
POL,Poland,Europe & Central Asia,High income
PRI,Puerto Rico,Latin America & Caribbean,High income
PRK,Dem. People's Rep. Korea,East Asia & Pacific,Low income
PRT,Portugal,Europe & Central Asia,High income
PRY,Paraguay,Latin America & Caribbean,Lower middle income
PSE,West Bank and Gaza,Middle East & North Africa,Lower middle income
PYF,French Polynesia,East Asia & Pacific,High income
QAT,Qatar,Middle East & North Africa,High income
ROU,Romania,Europe & Central Asia,Upper middle income
RUS,Russia,Europe & Central Asia,High income
RWA,Rwanda,Sub-Saharan Africa,Low income
SAS,South Asia,,
SAU,Saudi Arabia,Middle East & North Africa,High income
SDN,Sudan,Sub-Saharan Africa,Lower middle income
SEN,Senegal,Sub-Saharan Africa,Lower middle income
SGP,Singapore,East Asia & Pacific,High income
SLB,Solomon Islands,East Asia & Pacific,Lower middle income
SLE,Sierra Leone,Sub-Saharan Africa,Low income
SLV,El Salvador,Latin America & Caribbean,Lower middle income
SMR,San Marino,Europe & Central Asia,High income
SOM,Somalia,Sub-Saharan Africa,Low income
SRB,Serbia,Europe & Central Asia,Upper middle income
SSA,Sub-Saharan Africa (developing only),,
SSD,South Sudan,Sub-Saharan Africa,Lower middle income
SSF,Sub-Saharan Africa (all income levels),,
STP,São Tomé and Principe,Sub-Saharan Africa,Lower middle income
SUR,Suriname,Latin America & Caribbean,Upper middle income
SVK,Slovak Republic,Europe & Central Asia,High income
SVN,Slovenia,Europe & Central Asia,High income
SWE,Sweden,Europe & Central Asia,High income
SWZ,Swaziland,Sub-Saharan Africa,Lower middle income
SXM,Sint Maarten (Dutch part),Latin America & Caribbean,High income
SYC,Seychelles,Sub-Saharan Africa,Upper middle income
SYR,Syrian Arab Republic,Middle East & North Africa,Lower middle income
TCA,Turks and Caicos Islands,Latin America & Caribbean,High income
TCD,Chad,Sub-Saharan Africa,Low income
TGO,Togo,Sub-Saharan Africa,Low income
THA,Thailand,East Asia & Pacific,Upper middle income
TJK,Tajikistan,Europe & Central Asia,Low income
TKM,Turkmenistan,Europe & Central Asia,Upper middle income
TLS,Timor-Leste,East Asia & Pacific,Lower middle income
TON,Tonga,East Asia & Pacific,Upper middle income
TTO,Trinidad and Tobago,Latin America & Caribbean,High income
TUN,Tunisia,Middle East & North Africa,Upper middle income
TUR,Turkey,Europe & Central Asia,Upper middle income
TUV,Tuvalu,East Asia & Pacific,Upper middle income
TZA,Tanzania,Sub-Saharan Africa,Low income
UGA,Uganda,Sub-Saharan Africa,Low income
UKR,Ukraine,Europe & Central Asia,Lower middle income
UMC,Upper middle income,,
URY,Uruguay,Latin America & Caribbean,High income
USA,United States,North America,High income
UZB,Uzbekistan,Europe & Central Asia,Lower middle income
VCT,St. Vincent and the Grenadines,Latin America & Caribbean,Upper middle income
VEN,Venezuela,Latin America & Caribbean,Upper middle income
VIR,Virgin Islands,Latin America & Caribbean,High income
VNM,Vietnam,East Asia & Pacific,Lower middle income
VUT,Vanuatu,East Asia & Pacific,Lower middle income
WLD,World,,
WSM,Samoa,East Asia & Pacific,Lower middle income
XKX,Kosovo,Europe & Central Asia,Lower middle income
YEM,Yemen,Middle East & North Africa,Lower middle income
ZAF,South Africa,Sub-Saharan Africa,Upper middle income
ZMB,Zambia,Sub-Saharan Africa,Lower middle income
ZWE,Zimbabwe,Sub-Saharan Africa,Low income